ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
114,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,2,Confusion and anxiety about society
115,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Threat to correct understanding of politics and social events
116,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
117,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ప్రస్తుతం కాంగ్రెస్ పాలిస్తున్న రాష్ట్రాలలో వాడుకలో ఉన్న పాఠ్యపుస్తకాలలో కూడా హిందూ రాజుల చరిత్ర గురించి అధ్యాయాలు ఉన్నాయి,None,1,Threat to correct understanding of politics and social events
118,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,దీని గురుంచి Way2News స్పష్టత ఇస్తూ ఇది వాళ్ళ లోగోను ఉపయోగించి తయారు చేసిన ఫేక్ పోస్ట్ అని ఒక X పోస్టు ద్వారా తెలిపింది.,None,2,Threat to correct understanding of politics and social events
119,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Confusion and anxiety about society
120,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda," ఈ సంఘటన క్లెయిమ్‌లో పేర్కొన్న విధంగా 2020లో జరిగింది కాదు, 5 ఆగస్టు 2022న జరిగింది.",None,2,Threat to correct understanding of politics and social events
121,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,పశ్చిమ బెంగాల్ రాష్ట్రం కోల్‌కతా నగరంలోని కల్యాణి సబ్-అర్బన్ రైల్వే స్టేషన్లో దుర్గా పూజ మరియు దసరా పండగ సందర్భంగా వందలాది ప్రయాణికులు రైలు కోసం వేచి చూస్తున్న దృశ్యాలను ఈ వీడియో చూపిస్తుంది.,None,1,Harmless
122,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఇది 12 ఫిబ్రవరి 2018న లైవ్ లా వెబ్సైటులో ప్రచురించబడ్డ ఆర్టికల్ స్క్రీన్ షాట్.,None,2,Threat to correct understanding of politics and social events
123,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"నిజానికి,ఈ వీడియో క్లిప్ 2018 తెలంగాణ అసెంబ్లీ ఎన్నికల సమయంలో ఇండియా టుడే చేసిన సర్వే గురించి TV9లో వచ్చిన వార్తా కథనంలోనిది.",None,1,Threat to correct understanding of politics and social events
124,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Threat to correct understanding of politics and social events
125,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,కలదన్ మల్టీ-మోడల్ ట్రాన్సిట్ ట్రాన్స్‌పోర్ట్ ప్రాజెక్ట్ 2008 లో  కాంగ్రెస్ నేతృత్వంలోని యూపీఏ ప్రభుత్వ హయాంలో ప్రారంభించబడింది.,None,1,Threat to correct understanding of politics and social events
126,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఈ వీడియో ఎడిట్ చేయబడింది,None,1,Harmless
127,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
128,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,2,Prejudice against country and race
129,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Threat to correct understanding of politics and social events
130,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
131,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
132,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,No purpose,None,None,1,Harmless
133,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,2,Confusion and anxiety about society
134,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,కేసీఆర్ అనుకూల నినాదాలను డిజిటల్ మార్ఫింగ్ చేసి వైరల్ వీడియోకు చేర్చారు.,None,1,Threat to correct understanding of politics and social events
135,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
136,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇది 12 జులై 2022లో ఒక ఇంటర్వ్యూలో ఫిరోజ్ ఖాన్ ఎన్నికల ఫలితాలపై తన అంచనాలు తెలుపుతున్న వీడియో.,None,1,Threat to honor and trust in people and companies
137,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,3,Prejudice against country and race
138,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
139,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,2,Health
140,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,2,Confusion and anxiety about society
141,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ వీడియో 2022లో కావేరి నదిపై మేకేదాటు ప్రాజెక్ట్‌ను త్వరగా నిర్మించాలని డిమాండ్ చేస్తూ డీ.కే.శివకుమార్ నిర్వహించిన పాదయాత్రకు సంబంధించింది.,None,1,Threat to honor and trust in people and companies
142,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Threat to correct understanding of politics and social events
143,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈ ఘటన 20 అక్టోబర్ 2023లో కేరళలోని కాసర్‌గోడ్ ప్రాంతంలోని కాన్సా మహిళా కాలేజీ సమీపంలో జరిగింది.,None,2,Prejudice against country and race
144,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
145,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
146,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
147,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,3,Confusion and anxiety about society
148,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,2,Prejudice against country and race
149,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది ఒక ఎడిట్ చేసిన వీడియో.,None,2,Threat to correct understanding of politics and social events
150,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
151,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఈ వీడియో 19 ఏప్రిల్ 2022 తేదీ నాటి ‘Empty Place’ అనే పేరుతో పాలస్తీనాకు చెందిన ఫిల్మ్ మేకర్ అయిన అవనీ ఎష్టైవే దర్శకత్వం వహించిన షార్ట్ ఫిల్మ్‌ మేకింగ్ వీడియోలోని ఒక క్లిప్.,None,3,Prejudice against country and race
152,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
153,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
154,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,వీడియోలో కనిపిస్తున్న ఘటన 2019లో ఉత్తరప్రదేశ్ రాష్ట్రంలో జరిగిన బీజేపీ సమావేశంలో జరిగింది. బీజేపీ ఎంపీ శరద్ త్రిపాఠి తన పార్టీ ఎమ్మెల్యే రాకేశ్ సింగ్ తో వాదనకు దిగుతూ కొట్టుకుంటున్న దృశ్యాలని ఈ వీడియో చూపిస్తుంది.,None,1,Harmless
155,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
156,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"సోషల్ మీడియాలో ప్రచారంలో ఉన్న నోటీసు నకిలీదని, దాన్ని తాము జారీ చేయలేదని తమిళనాడులోని తిరుప్పూర్‌ కాలేజీ యాజమాన్యం స్పష్టం చేసింది.",None,2,Prejudice against country and race
157,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
158,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,డబ్బు వివాదానికి సంబంధించి ఇతరులను దుర్భాషలాడినందుకు హోత్‌చంద్ సింధీ అనే వ్యక్తిని కొందరు వ్యక్తులు కొడుతున్న దృశ్యాలను ఈ వీడియో చూపిస్తుంది.,None,2,Conspiracy Theory
159,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,2,Threat to correct understanding of politics and social events
160,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"ఇది 2023 ప్రారంభంలో, ఇజ్రాయెల్ ప్రధాని బెంజమిన్ నెతన్యాహు ప్రభుత్వం ప్రతిపాదించిన న్యాయ సంస్కరణలను వ్యతిరేకిస్తూ, ప్రజలు చేసిన నిరసన యొక్క ఫోటో ఇది. ",None,1,Threat to honor and trust in people and companies
161,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
162,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ వీడియో ఉత్తరప్రదేశ్‌కు చెందినది,None,1,Threat to correct understanding of politics and social events
163,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
164,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Prejudice against country and race
165,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ సంఘటన ఉత్తర్ ప్రదేశ్ రాష్ట్రం సిధౌలీలోని కిశోరీ బాలిక విద్యాలయ్ అనే ప్రైవేటు పాఠశాలలో చోటు చేసుకుంది. ఇది RSS పాఠశాల కాదు.,None,2,Threat to honor and trust in people and companies
166,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Confusion and anxiety about society
167,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
168,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
169,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
170,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఖలీద్ మెహమూద్ అబ్బాసీ ఈ  వ్యాఖ్యలు చేసినట్టు ఎక్కడా రిపోర్ట్ కాలేదు.,None,2,Confusion and anxiety about society
171,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Confusion and anxiety about society
172,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
173,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ వీడియోలో వీరిద్దరూ టీడీపీ కౌన్సిలర్లు,None,1,Harmless
174,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda," జనాభా పరంగా నైజీరియాలో భారతదేశంకన్నా తక్కువ మంది పేదరికంలో ఉన్నప్పటికీ,  శాతాల పరంగా నైజీరియా అధిక పేదరికం నిష్పత్తిని కలిగి ఉంది.",None,1,Threat to correct understanding of politics and social events
175,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Health
176,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to honor and trust in people and companies
177,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
178,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"ఈ పిటిషన్‌పై సుప్రీంకోర్టు ఎటువంటి తీర్పు ఇంకా ఇవ్వలేదు, ఇప్పటికే పెండింగ్‌లో ఉన్న అంశాన్ని ట్యాగ్ చేస్తూ తీర్పును పెండింగ్‌లో ఉంచింది.",None,1,Harmless
179,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Threat to honor and trust in people and companies
180,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,2,Prejudice against country and race
181,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,2,Prejudice against country and race
182,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
183,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
184,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
185,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,No purpose,None,None,1,Harmless
186,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Threat to correct understanding of politics and social events
187,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,గ్రామంలో మత ఘర్షణలు తలెత్తకుండా గ్రామ సర్పంచ్ సంజయ్ త్యాగి మరియు గ్రామ ఆలయ కమిటీ సభ్యులు జోక్యం చేసుకున్నారు.,None,2,Prejudice against country and race
188,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
189,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
190,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"గృహ పూజ వేడుకలో ఒక మహిళతో అసభ్యంగా ప్రవర్తించి, ఆమెను వేధించాడని ఆరోపిస్తూ భాదితురాలి కుటుంభికులు ఆ పూజారిని రోడ్డుపై ఇలా కొట్టారు",పూజా సమయంలో హిందూ రింగ్ బెల్,2,Prejudice against country and race
191,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
192,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,అటువంటి పోస్ట్ ఏదీ CJI జారీ చేయలేదని సుప్రీంకోర్టు పత్రికా ప్రకటన ద్వారా తెలియజేసింది.,None,2,Threat to correct understanding of politics and social events
193,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"2020 నాటి ఈ ఫోటో యొక్క అసలు వెర్షన్, ఊటీలో జరిగిన ఒక నిరసన సమయంలో తీయబడింది.",None,1,Threat to correct understanding of politics and social events
194,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
195,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
196,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
197,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
198,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"ఈ ప్రకటనకు, TV9 ఛానల్ కు ఎటువంటి సంబంధం లేదని, ఇది TV9 పేరుతో కొందరు ప్రచారం చేస్తున్న ఫేక్ న్యూస్ అని TV9 ట్విట్టర్ ద్వారా తెలిపింది",None,1,Threat to honor and trust in people and companies
199,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Threat to honor and trust in people and companies
200,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Threat to correct understanding of politics and social events
201,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Threat to honor and trust in people and companies
202,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,శాఖాహార పరిశ్రమకు బీఫ్ కి లింక్ చేస్తున్నారు,హలాల్ ధృవీకరణ అనేది ఇస్లామిక్ చట్టానికి కట్టుబడి ఆహారం తయారు చేయబడిందని మరియు కల్తీ లేనిదని హామీ ఇస్తుంది,1,Threat to honor and trust in people and companies
203,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,3,Threat to honor and trust in people and companies
204,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
205,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda," ప్రతిభా పాటిల్ కార్యాలయం ‘ది క్వింట్’ న్యూస్ వెబ్‌సైట్‌తో మాట్లాడుతూ, సోషల్ మీడియాలో సర్క్యులేట్ అవుతున్న ఈ సందేశం నకిలీదని స్పష్టం చేసింది",None,1,Harmless
206,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"ప్పుడు తన తలకి ఉన్న పాగాను తీసి జుట్టు సరిచేసుకొంటున్నప్పుడు తీసిన వీడియోను, పూజారి తన తలపై అక్షింతలు వేసినందుకు ఆయన్ని తిట్టి దులుపుకొన్నారు అని తప్పుడు కథనంతో షేర్ చేస్తున్నారు",None,1,Threat to honor and trust in people and companies
207,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
208,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఈ వీడియోలో ఉంది సోషల్ మీడియాలో రీల్స్ ద్వారా ఫేమస్ అయిన పబ్బ సైదులు అనే వ్యక్తి.,None,1,Harmless
209,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఆలయంలోకి ప్రవేశించినందుకు ఈ దళిత మహిళను కొట్టారని చేస్తున్న ప్రచారంలో ఎటువంటి నిజం లేదు.,None,3,Prejudice against country and race
210,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,2,Threat to honor and trust in people and companies
211,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,కేంద్ర ప్రభుత్వం ఇళ్లు నిర్మిస్తుందన్న ఇమేజ్‌ను కల్పించాలన్నారు,None,1,Threat to correct understanding of politics and social events
212,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఎన్నికలకు ముందు జనసేన పార్టీ లోగో గురించి ప్రజలను మభ్యపెట్టాలని వారు భావిస్తున్నారు,"2024 ఏపీ ఎన్నికల కోసం జనసేన, టీడీపీ పొత్తు పెట్టుకున్నాయి",1,Threat to correct understanding of politics and social events
213,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,2,Not sure
214,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
215,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ప్రస్తుత ఏపీ ప్రభుత్వం పాలలా భారత రాజ్యాంగానికి వ్యతిరేకంగా జరుగుతోంది అన్నారు,None,2,Threat to honor and trust in people and companies
216,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
217,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
218,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ముస్లిం కట్టడలను సందర్శించలేదు అనేది తప్పు,None,1,Prejudice against country and race
219,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
220,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,నీచమైన నిందలు వేసి పరువు తియ్యాలని చూస్తున్నారు,None,1,Threat to honor and trust in people and companies
221,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda," గృహలక్ష్మీ పథకం కింద కేవలం ముస్లిం మహిళలు మాత్రమే లబ్ధిదారులుగా ఎంపిక చేయబడుతారని కర్ణాటక ప్రభుత్వం ఎప్పుడూ, ఎక్కడా చెప్పలేదు.",None,1,Threat to correct understanding of politics and social events
222,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"రాహుల్ బీజేపీని విమర్శించారు, హిందువులను కాదు","ప్రస్తుతం భారతదేశంలో బీజేపీ అధికార పార్టీ కాగా, రాహుల్ గాంధీ ప్రతిపక్ష నేత",1,Threat to honor and trust in people and companies
223,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,రాబోయే కేంద్ర ఎన్నికల్లో ఎన్డీయే ఓడిపోతుందన్న ఇమేజ్‌ను క్రియేట్ చేస్తున్నారు,None,1,Harmless
224,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
225,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
226,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
227,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"టీడీపీ ప్రభుత్వం అధికారంలో ఉన్నప్పుడు జరిగింది, వైకాపా ప్రభుత్వ హయాంలో కాదు",None,1,Threat to honor and trust in people and companies
228,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
229,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
230,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
231,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"పోలీసు అధికారి హిందువు, ముస్లిం కాదు",none,1,Prejudice against country and race
232,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"ఈ వార్తను ఎన్టీవీ లేదా ఆంధ్రప్రభ ప్రచురించలేదు, ఎడిట్ చేయబడింది",none,2,Threat to honor and trust in people and companies
233,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,none,none,2,Health
234,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,శ్రీకృష్ణుడు అటువంటి ప్రకటన చేయలేదు,none,1,Prejudice against country and race
235,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,none,none,1,Harmless
236,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఈ కేసులో బజరంగ్ దళ్ సభ్యుల ప్రమేయం లేదు,none,2,Confusion and anxiety about society
237,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,none,none,1,Confusion and anxiety about society
238,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
239,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"ఈ వీడియో పాతది, ప్రస్తుత వీడియో కాదు",none,2,Prejudice against country and race
240,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,పోస్ట్‌లో ఇచ్చిన విషయం పూర్తిగా నిజం కాదు,none,1,Harmless
241,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,none,none,2,Health
242,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,చిత్రం ఆంధ్రప్రదేశ్‌కి సంబంధించినది కాదు,none,1,Threat to correct understanding of politics and social events
